epoch,lr-Adam,step,test_accuracy,test_loss,val_accuracy,val_loss
,0.001,0,,,,
0,,9,,,0.50457763671875,45.71769332885742
,0.001,10,,,,
,0.001,20,,,,
,0.001,30,,,,
,0.001,40,,,,
,0.001,50,,,,
,0.001,60,,,,
,0.001,70,,,,
,0.001,80,,,,
,0.001,90,,,,
,0.001,100,,,,
,0.001,110,,,,
,0.001,120,,,,
,0.001,130,,,,
,0.001,140,,,,
,0.001,150,,,,
,0.001,160,,,,
,0.001,170,,,,
,0.001,180,,,,
,0.001,190,,,,
,0.001,200,,,,
20,,209,,,0.753631591796875,0.7516138553619385
,0.001,210,,,,
,0.001,220,,,,
,0.001,230,,,,
,0.001,240,,,,
,0.001,250,,,,
,0.001,260,,,,
,0.001,270,,,,
,0.001,280,,,,
,0.001,290,,,,
,0.001,300,,,,
,0.001,310,,,,
,0.001,320,,,,
,0.001,330,,,,
,0.001,340,,,,
,0.001,350,,,,
,0.001,360,,,,
,0.001,370,,,,
,0.001,380,,,,
,0.001,390,,,,
,0.001,400,,,,
40,,409,,,0.723480224609375,1.2537896633148193
,0.001,410,,,,
,0.001,420,,,,
,0.001,430,,,,
,0.001,440,,,,
,0.001,450,,,,
,0.001,460,,,,
,0.001,470,,,,
,0.001,480,,,,
,0.001,490,,,,
,0.001,500,,,,
,0.001,510,,,,
,0.001,520,,,,
,0.001,530,,,,
,0.001,540,,,,
,0.001,550,,,,
,0.001,560,,,,
,0.001,570,,,,
,0.001,580,,,,
,0.001,590,,,,
60,,600,0.733001708984375,0.7958777546882629,,
